Project_ID,Start_Date,End_Date,Duration_Days,Team_Size,Budget_USD,Complexity,Client_Satisfaction,Project_Success
P0139,2022-07-08,2023-01-26,202,28,101659,Medium,1,0
P0140,2022-04-06,2023-03-18,346,29,174134,High,3,0
P0141,2022-11-22,2023-10-20,332,11,85713,High,5,1
P0142,2022-07-29,2023-01-23,178,10,228335,High,3,1
P0143,2021-08-29,2021-12-16,109,28,498972,High,10,1
P0144,2022-07-18,2023-03-17,242,37,463677,Low,3,1
P0145,2021-04-06,2021-11-24,232,33,85418,Low,10,1
P0146,2022-04-30,2023-02-05,281,47,469888,Medium,3,1
P0147,2022-02-11,2022-10-27,258,26,138232,Low,5,1
P0148,2021-08-19,2022-02-28,193,30,438048,Medium,5,1
P0149,2022-10-17,2023-06-30,256,32,173038,Low,4,0
P0150,2021-06-20,2021-12-13,176,25,475761,Medium,1,1
P0151,2022-06-25,2022-08-13,49,11,416203,Medium,5,0
P0152,2021-02-05,2021-04-22,76,21,178383,Medium,10,1
P0153,2022-06-09,2023-02-26,262,24,303719,Medium,5,0
P0154,2021-06-09,2022-05-09,334,45,335996,High,4,1
P0155,2022-11-30,2023-01-12,43,24,268722,Medium,6,1
P0156,2021-08-31,2022-02-19,172,26,142079,High,10,1
P0157,2021-03-27,2021-04-26,30,32,212053,Low,4,1
P0158,2022-08-01,2022-10-23,83,44,86242,High,7,1
P0159,2022-11-13,2023-08-28,288,11,188589,Medium,7,0
P0160,2022-07-11,2022-12-31,173,5,39257,Low,2,1
P0161,2022-07-28,2022-09-07,41,36,490488,Low,3,1
P0162,2022-10-08,2023-10-02,359,17,445423,Medium,1,1
P0163,2021-01-28,2021-10-08,253,34,154353,Low,8,1
P0164,2022-09-12,2023-07-10,301,27,333390,Low,9,1
P0165,2022-07-10,2023-01-11,185,23,273579,Medium,4,0
P0166,2021-12-06,2022-01-12,37,36,239947,Medium,6,1
P0167,2021-11-27,2022-04-27,151,34,241758,Medium,9,1
P0168,2022-10-02,2023-04-13,193,33,101357,High,6,0
P0169,2022-05-21,2022-09-17,119,49,167732,Medium,9,1
P0170,2021-12-14,2022-05-28,165,33,408300,Medium,4,1
P0171,2022-04-18,2022-11-19,215,34,485413,Low,8,1
P0172,2021-08-19,2022-07-30,345,20,416723,Medium,9,0
P0173,2021-07-09,2022-02-01,207,44,213667,Low,4,1
P0174,2021-08-13,2021-10-09,57,23,93807,High,5,0
P0175,2022-01-20,2022-09-26,249,22,448755,High,8,1
P0176,2022-01-12,2022-03-23,70,5,388097,Medium,10,1
P0177,2021-10-10,2022-06-24,257,18,148563,Low,6,1
P0178,2022-09-25,2023-05-04,221,6,268778,High,7,1
P0179,2022-09-20,2023-03-13,174,32,191264,Medium,3,1
P0180,2021-09-16,2022-05-04,230,34,483611,Low,7,1
P0181,2021-12-25,2022-08-23,241,42,395941,Low,8,1
P0182,2022-12-11,2023-08-17,249,8,336032,Medium,10,1
P0183,2022-04-01,2022-12-26,269,5,83609,Low,6,1
P0184,2022-02-15,2022-05-01,75,12,281221,High,10,0
P0185,2022-10-11,2022-12-14,64,33,258512,Medium,9,0
P0186,2021-11-14,2022-08-23,282,43,263973,Low,6,1
P0187,2022-11-08,2023-02-27,111,7,293097,High,9,0
P0188,2021-08-13,2022-05-25,285,36,480135,Low,4,1
P0189,2021-08-22,2022-04-05,226,14,386826,Medium,8,1
P0190,2022-11-15,2023-10-13,332,14,340033,Low,4,0
P0191,2022-10-26,2022-12-04,39,23,164893,Low,2,0
P0192,2022-01-09,2022-12-16,341,38,440783,Medium,10,1
P0193,2022-11-03,2023-09-14,315,37,125374,Medium,9,0
P0194,2022-08-31,2023-05-29,271,27,34860,Medium,5,1
P0195,2022-04-17,2023-01-22,280,32,162267,Medium,4,1
P0196,2021-08-21,2021-09-24,34,36,87475,Medium,2,0
P0197,2022-11-23,2023-04-20,148,11,494090,Low,1,1
P0198,2021-04-23,2022-03-07,318,33,359410,Low,7,1
P0199,2022-05-12,2022-08-14,94,12,162499,High,6,0
P0200,2022-03-18,2022-09-09,175,5,372876,Medium,2,1
P0201,2022-07-18,2023-03-28,253,7,299227,Medium,8,1
P0202,2021-09-25,2022-06-20,268,28,228118,Low,4,0
P0203,2022-05-25,2022-12-17,206,27,329516,Low,8,1
P0204,2022-01-21,2022-11-13,296,12,133786,Medium,7,1
P0205,2022-01-22,2022-11-29,311,41,447280,High,5,1
P0206,2021-04-23,2021-07-24,92,7,17813,Medium,10,1
P0207,2022-09-05,2023-05-09,246,37,41598,High,10,0
P0208,2022-09-17,2023-08-27,344,32,267951,Medium,8,1
P0209,2021-03-22,2022-01-28,312,12,103106,Low,9,0
P0210,2022-11-30,2023-06-24,206,38,299226,Medium,5,1
P0211,2021-04-23,2021-08-28,127,39,301385,Low,10,1
P0212,2021-01-02,2021-05-16,134,36,237286,Low,5,0
P0213,2022-10-04,2023-02-09,128,28,447785,High,2,1
P0214,2021-08-08,2022-07-14,340,18,21745,Medium,5,1
P0215,2022-07-20,2022-08-24,35,36,298173,Medium,3,1
P0216,2021-08-13,2022-03-27,226,47,154097,Low,7,0
P0217,2022-01-20,2022-07-01,162,20,242732,Low,10,0
P0218,2022-02-07,2022-11-22,288,8,395539,Low,5,1
P0219,2022-09-30,2022-11-21,52,41,155360,Low,8,1
P0220,2021-05-10,2021-07-31,82,25,99186,Medium,1,0
P0221,2021-02-22,2021-09-04,194,18,409756,Low,3,1
P0222,2022-11-15,2023-07-04,231,35,369912,Medium,3,1
P0223,2022-12-31,2023-04-22,112,22,223030,Low,9,1
P0224,2022-11-03,2023-04-26,174,11,209950,Low,5,0
P0225,2022-12-11,2023-04-04,114,14,51846,Low,9,0
P0226,2022-02-20,2022-06-07,107,11,348076,Medium,9,0
P0227,2021-09-04,2021-10-04,30,37,158554,Medium,1,1
P0228,2022-03-15,2022-06-03,80,27,295555,Medium,2,1
P0229,2021-07-22,2022-02-09,202,25,454191,Medium,5,0
P0230,2021-07-03,2022-02-22,234,23,463761,Medium,4,0
P0231,2021-05-03,2022-02-16,289,23,350941,Low,10,1
P0232,2022-02-05,2022-12-19,317,40,324451,Low,9,1
P0233,2021-10-21,2021-12-23,63,33,406309,High,7,0
P0234,2021-10-07,2022-02-08,124,22,480474,Medium,6,1
P0235,2022-09-02,2022-12-12,101,6,294186,Low,7,1
P0236,2021-07-17,2021-09-23,68,5,62930,High,1,0
P0237,2022-05-26,2022-11-25,183,9,258656,Medium,1,0
P0238,2021-05-24,2022-02-27,279,24,447629,Low,8,1
P0239,2022-09-01,2023-03-11,191,15,254459,Medium,2,1
P0240,2021-07-20,2021-12-14,147,46,234695,Medium,10,1
P0241,2021-05-04,2022-02-16,288,6,370027,Medium,9,0
P0242,2021-07-06,2022-06-06,335,7,305900,Low,7,1
P0243,2021-11-22,2022-09-15,297,27,63268,Low,6,0
P0244,2022-04-09,2022-07-01,83,16,442430,Medium,1,0
P0245,2021-12-15,2022-09-06,265,24,222943,Medium,1,0
P0246,2022-10-22,2023-06-30,251,9,268916,High,2,0
P0247,2022-02-07,2022-11-14,280,41,431818,Medium,6,1
P0248,2021-12-12,2022-11-19,342,42,194403,Low,6,1
P0249,2022-05-26,2022-10-14,141,34,58901,Medium,2,0
P0250,2021-05-27,2022-03-07,284,13,372130,Low,1,1
P0251,2021-05-28,2022-04-25,332,38,204488,Medium,10,0
P0252,2022-12-12,2023-08-05,236,48,173268,Medium,5,1
P0253,2022-05-04,2023-01-17,258,39,400530,Low,5,1
P0254,2022-10-02,2023-01-05,95,26,277770,Medium,2,1
P0255,2022-07-05,2022-10-17,104,48,148496,Low,6,1
P0256,2021-12-04,2022-04-15,132,28,285001,Low,9,1
P0257,2022-10-03,2023-05-12,221,21,251531,Low,2,1
P0258,2022-04-18,2023-01-24,281,14,256693,Low,10,1
P0259,2021-05-31,2022-02-10,255,34,423198,High,2,1
P0260,2022-02-19,2023-01-08,323,27,480177,Medium,3,0
P0261,2021-10-25,2022-09-25,335,36,405196,Low,7,1
P0262,2022-09-03,2023-01-08,127,21,189362,Medium,6,1
P0263,2021-09-20,2022-08-01,315,21,36431,Low,8,1
P0264,2021-05-24,2022-05-23,364,18,357120,High,8,0
P0265,2021-12-12,2022-11-14,337,13,248360,Medium,6,0
P0266,2022-09-16,2023-06-21,278,44,354855,Medium,10,1
P0267,2022-07-26,2023-02-06,195,6,36385,Low,3,0
P0268,2021-01-02,2022-01-01,364,49,441374,Medium,3,1
P0269,2021-10-31,2021-12-29,59,29,426235,Medium,1,1
P0270,2021-09-11,2022-06-14,276,43,290783,High,7,0
P0271,2022-10-14,2023-02-26,135,13,95530,Low,5,0
P0272,2022-03-29,2022-06-17,80,26,240983,Low,4,0
P0273,2021-02-06,2021-05-27,110,47,293707,High,10,1
P0274,2021-06-09,2021-11-18,162,8,442557,Medium,4,0
P0275,2021-01-09,2021-11-19,314,30,387816,Low,4,0
P0276,2021-08-21,2022-02-04,167,33,408992,Low,6,1
P0277,2021-04-09,2021-11-08,213,49,439660,High,8,0
P0278,2022-10-21,2023-10-15,359,38,472132,Low,8,1
P0279,2021-07-27,2022-05-25,302,27,411927,Medium,5,1
P0280,2021-05-11,2021-08-17,98,41,215390,Medium,6,1
P0281,2022-02-08,2022-04-12,63,15,355114,Low,4,1
P0282,2021-06-01,2022-03-19,291,10,253373,Medium,9,1
P0283,2021-02-23,2021-05-16,82,22,357697,Low,8,1
P0284,2021-04-30,2021-12-20,234,25,171779,Low,10,0
P0285,2022-11-04,2023-04-08,155,46,180182,Medium,10,0
P0286,2022-09-20,2023-06-11,264,40,202860,High,1,1
P0287,2022-08-10,2022-10-21,72,45,92879,Medium,2,0
P0288,2022-09-17,2023-06-13,269,42,442043,Medium,9,0
P0289,2022-02-24,2022-07-14,140,38,248260,Low,8,0
P0290,2022-02-26,2022-12-01,278,21,408871,Low,3,1
P0291,2021-04-14,2021-10-11,180,41,317003,Low,8,1
P0292,2021-09-11,2022-04-11,212,29,456841,Low,1,0
P0293,2021-08-15,2021-12-17,124,42,324242,Low,10,1
P0294,2021-04-22,2021-05-29,37,16,156323,Low,4,1
P0295,2022-05-25,2022-12-24,213,27,132413,Low,3,1
P0296,2022-04-18,2023-02-22,310,46,272670,Low,6,1
P0297,2021-04-09,2021-11-19,224,26,340904,Medium,7,1
P0298,2021-06-02,2022-01-12,224,25,57837,High,4,0
P0299,2021-12-04,2022-06-06,184,31,270550,Low,7,1
P0300,2022-12-07,2023-04-08,122,35,283680,High,9,1
P0301,2021-06-12,2021-12-18,189,10,38541,High,2,0
P0302,2022-12-21,2023-03-21,90,31,89083,Low,3,1
P0303,2022-11-12,2023-04-12,151,44,454243,Medium,5,0
P0304,2021-06-10,2021-08-29,80,38,44531,Medium,3,0
P0305,2022-08-03,2023-06-05,306,16,280856,Medium,8,1
P0306,2022-02-02,2022-03-08,34,49,376245,Low,10,1
P0307,2021-10-04,2022-02-02,121,11,337599,Medium,8,1
P0308,2022-05-19,2022-12-04,199,14,84744,Low,8,0
P0309,2022-01-27,2023-01-08,346,49,262859,Medium,9,1
P0310,2021-05-15,2021-07-05,51,21,139749,Medium,4,1
P0311,2021-07-14,2022-07-04,355,30,277253,Medium,5,1
P0312,2022-02-05,2022-03-07,30,25,321412,Medium,5,1
P0313,2022-10-02,2023-03-13,162,32,241809,Medium,8,0
P0314,2021-02-02,2021-10-22,262,6,326759,Low,7,1
P0315,2022-11-19,2022-12-30,41,47,92503,Low,9,1
P0316,2022-04-05,2022-06-19,75,5,264346,High,8,1
P0317,2022-04-15,2022-06-17,63,40,432975,Low,2,1
P0318,2022-01-10,2022-04-27,107,30,95708,Low,10,1
P0319,2021-01-22,2021-09-26,247,33,201184,Low,4,0
P0320,2022-11-01,2023-09-27,330,25,112471,Low,6,1
P0321,2021-02-07,2021-05-20,102,15,264225,High,2,0
P0322,2021-08-18,2022-06-25,311,44,167661,Medium,7,1
P0323,2021-12-31,2022-10-05,278,15,171087,High,3,0
P0324,2022-07-17,2022-10-01,76,40,170081,Medium,3,1
P0325,2022-03-14,2022-08-11,150,43,355453,Medium,2,1
P0326,2021-10-10,2022-06-10,243,44,398590,Low,8,1
P0327,2021-01-27,2021-10-22,268,39,203118,Medium,6,1
P0328,2021-08-14,2021-11-07,85,38,378805,Low,1,1
P0329,2021-10-04,2022-02-17,136,28,167215,High,1,1
P0330,2022-09-01,2023-08-15,348,26,16154,High,7,0
P0331,2021-10-11,2021-12-27,77,9,162876,Low,8,1
P0332,2022-04-26,2022-07-25,90,37,444904,High,5,1
P0333,2022-03-29,2022-05-23,55,40,74288,High,5,1
P0334,2022-10-21,2023-09-07,321,24,61195,Medium,4,0
P0335,2022-05-31,2023-03-13,286,23,292725,Low,6,1
P0336,2022-07-01,2022-08-07,37,39,455864,Medium,6,1
P0337,2021-07-11,2021-11-30,142,47,302231,Medium,3,1
P0338,2021-02-18,2021-11-27,282,21,191002,Low,9,0
P0339,2022-05-27,2022-12-22,209,49,174053,Low,7,1
P0340,2021-01-17,2021-09-10,236,47,79298,Medium,1,1
P0341,2021-06-21,2022-05-19,332,38,318311,Low,7,0
P0342,2021-08-08,2022-01-11,156,13,216376,Medium,5,1
P0343,2021-06-07,2021-08-31,85,30,446624,High,5,1
P0344,2022-04-22,2022-12-21,243,6,49499,High,2,0
P0345,2021-02-15,2021-03-30,43,13,397960,Low,4,0
P0346,2022-01-08,2022-03-06,57,13,455485,High,6,1
P0347,2022-06-02,2022-09-17,107,44,179631,Low,10,0
P0348,2021-04-09,2021-12-10,245,21,255198,Low,7,1
P0349,2021-02-06,2021-08-08,183,5,477535,Medium,5,1
P0350,2021-10-07,2021-11-19,43,29,252997,Low,9,1
P0351,2021-12-15,2022-07-19,216,47,498533,Low,3,1
P0352,2022-05-12,2023-04-18,341,44,106347,Medium,1,0
P0353,2021-10-29,2021-12-04,36,46,320931,Low,4,1
P0354,2021-06-30,2021-08-01,32,29,307632,Low,9,1
P0355,2022-08-30,2023-01-17,140,43,346585,Medium,4,0
P0356,2021-04-09,2022-01-01,267,39,215735,Medium,2,0
P0357,2022-12-01,2023-08-26,268,7,32431,Medium,10,0
P0358,2021-04-26,2022-02-23,303,41,333825,Low,5,1
P0359,2021-07-10,2022-05-29,323,48,204555,Medium,3,0
P0360,2021-09-10,2022-05-24,256,48,132720,Low,9,1
P0361,2021-06-10,2021-07-24,44,34,59153,Low,4,0
P0362,2021-09-13,2022-04-22,221,42,278512,Medium,6,0
P0363,2021-11-19,2022-04-16,148,38,430640,Low,2,1
P0364,2021-05-08,2021-07-04,57,16,384504,Low,6,1
P0365,2021-01-18,2021-09-06,231,23,186076,Medium,3,1
P0366,2022-07-20,2022-09-26,68,41,487085,Medium,9,1
P0367,2022-07-24,2023-05-22,302,48,229724,Medium,2,0
P0368,2021-11-19,2022-08-06,260,21,384899,Low,9,0
P0369,2022-11-17,2023-03-12,115,14,66985,Low,5,0
P0370,2022-09-18,2023-02-20,155,16,322213,Low,8,1
P0371,2021-10-15,2022-09-09,329,20,324470,Low,2,0
P0372,2022-10-25,2022-12-18,54,28,118737,Medium,6,0
P0373,2022-10-01,2023-03-24,174,23,222133,High,3,0
P0374,2021-06-04,2021-07-16,42,12,164470,Medium,10,0
P0375,2022-05-05,2023-01-01,241,35,239465,Medium,5,1
P0376,2022-01-21,2022-03-16,54,25,60861,Medium,8,1
P0377,2021-04-14,2021-07-20,97,21,348041,Medium,10,0
P0378,2022-01-28,2022-05-04,96,27,222977,Low,1,0
P0379,2021-09-03,2022-05-23,262,41,137118,Medium,5,1
P0380,2021-06-25,2021-11-10,138,20,340721,Medium,3,1
P0381,2021-02-08,2021-08-02,175,10,206713,Low,4,1
P0382,2022-04-22,2022-09-09,140,12,19078,Low,2,0
P0383,2022-11-13,2023-07-28,257,29,428219,High,9,1
P0384,2022-06-22,2022-11-09,140,22,334912,Low,3,1
P0385,2022-02-12,2022-04-16,63,29,61047,Low,2,0
P0386,2022-06-09,2022-10-27,140,16,343770,Medium,10,0
P0387,2022-05-21,2023-03-10,293,19,329804,Medium,9,1
P0388,2021-02-05,2021-10-28,265,30,245458,Medium,7,1
P0389,2022-11-16,2023-03-08,112,45,453002,Medium,6,1
P0390,2021-01-20,2021-04-01,71,49,405141,Low,1,0
P0391,2021-11-17,2022-03-27,130,30,225048,Medium,5,1
P0392,2022-05-27,2022-07-01,35,36,246293,Low,3,1
P0393,2022-02-04,2022-09-01,209,14,127832,High,1,0
P0394,2022-10-16,2023-08-23,311,20,402550,Medium,4,0
P0395,2022-04-16,2023-03-31,349,11,135150,Low,2,0
P0396,2021-05-23,2022-02-02,255,21,167087,Low,2,0
P0397,2021-04-02,2022-03-12,344,27,43320,Low,3,0
P0398,2021-12-20,2022-09-04,258,30,337025,Low,8,1
P0399,2022-12-28,2023-11-11,318,25,100827,Low,8,0
P0400,2021-02-20,2021-08-18,179,26,374359,Medium,7,0
P0401,2022-10-27,2023-08-29,306,11,429505,Medium,6,1
P0402,2022-11-29,2023-07-14,227,18,269931,Low,9,1
P0403,2022-07-29,2022-11-05,99,19,406605,Low,4,1
P0404,2021-07-09,2021-11-27,141,11,428899,Low,1,0
P0405,2021-05-05,2021-06-07,33,13,416845,High,8,1
P0406,2021-05-30,2022-05-25,360,12,333694,Low,7,0
P0407,2021-11-10,2022-10-23,347,27,34826,Medium,7,0
P0408,2022-07-24,2022-11-25,124,33,110734,High,3,1
P0409,2021-12-08,2022-06-07,181,22,167702,Medium,4,1
P0410,2021-11-01,2022-10-07,340,35,239834,High,10,0
P0411,2022-11-23,2023-05-08,166,34,187235,Low,9,1
P0412,2022-11-13,2023-08-16,276,43,108511,High,6,0
P0413,2021-02-23,2021-11-22,272,39,469651,Low,5,0
P0414,2022-03-20,2022-05-19,60,22,283797,Low,3,1
P0415,2022-09-05,2022-11-13,69,46,169033,Medium,9,0
P0416,2021-09-21,2022-06-06,258,43,91941,High,5,1
P0417,2021-02-22,2021-04-28,65,21,215209,High,5,0
P0418,2022-07-26,2023-04-04,252,18,305806,Low,4,0
P0419,2022-09-12,2022-10-17,35,35,108818,Low,4,1
P0420,2021-01-05,2021-12-22,351,28,459662,High,1,0
P0421,2021-04-13,2021-12-18,249,39,162360,Low,7,1
P0422,2021-07-15,2021-10-27,104,48,263627,Medium,9,1
P0423,2021-12-16,2022-01-18,33,49,105081,High,3,1
P0424,2021-02-16,2022-02-15,364,38,46877,Medium,2,0
P0425,2022-10-18,2023-03-30,163,7,383706,Low,3,0
P0426,2021-09-26,2022-02-20,147,41,418529,Medium,1,1
P0427,2022-01-05,2022-05-08,123,47,221957,Low,6,1
P0428,2022-09-28,2022-12-28,91,44,82715,High,7,1
P0429,2021-04-16,2021-11-25,223,30,151398,Medium,2,1
